author,work,metronome,meter
Madhuchandas Vaiśvāmitra,b01_h008_05,wS.SS.wS.w.w.|wSw.Sw.SwS.|wS.S.wwS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h008_06,wSS.S.w.Sww.|wS.SSw.wwS.|SSS.S.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h008_07,S.SS.SwSwS.|wSw.ww.SwS.|SS.SS.w.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h008_08,SS.w.Sw.SwS.|wSS.SwS.wS.|SS.SS.w.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h008_09,SS.w.S.wSww.|Sww.Sw.SwS.|SS.S.Sw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h008_10,SS.w.Sw.SwS.|Sw.SS.w.SwS.|SSw.SwSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h009_01,SSw.Sw.SwS.|SSS.SwSwS.|wS.wSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h009_02,S.SS.wwS.wS.|Sw.SSw.SwS.|SS.SSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h009_03,SS.wSw.SwS.|SSS.SwSwS.|wSw.wwSw.S|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h009_04,wSw.Sw.S.wS.|wS.S.w.wSww.|wSS.wwS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h009_05,S.Sww.Sw.SS.|Sw.Sw.wSww.|ww.S.S.wS.ww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h009_06,SS.w.Sw.Sww.|Sw.SS.wSwS.|wSSw.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h009_07,S.Sw.Sw.Sww.|SS.wS.wS.wS.|SSS.Sw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h009_08,SS.SS.wS.wS.|SS.wSwSww.|Sw.S.wwS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h009_09,wS.SS.wwwS.|SS.wSw.SwS.|Sw.SSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h009_10,wSwS.wSwS.|wS.www.S.ww.|SSw.Sw.Sww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h010_01,SSS.S.SSwS.|SSw.Sw.SwS.|SSS.S.wSww.|S.Sw.ww.SwS|,anuṣṭubh
Madhuchandas Vaiśvāmitra,b01_h010_02,S.SS.Sw.SwS.|Sw.SSw.SwS.|w.SS.SS.Sww.|SSw.Sw.Sww|,anuṣṭubh
Madhuchandas Vaiśvāmitra,b01_h010_03,SS.w.SwS.wS.|wwS.SwSww.|wS.w.Sw.SwS.|wS.wSwS.ww|,anuṣṭubh
Madhuchandas Vaiśvāmitra,b01_h010_04,SS.SS.wS.ww.|ww.wSw.S.wS.|Sw.w.S.wS.wS.|Sw.SS.w.Sww|,anuṣṭubh
Madhuchandas Vaiśvāmitra,b01_h010_05,Sw.SSw.SwS.|SwS.wwSwS.|SS.wS.wSw.S.|SwS.wwSw.w|,anuṣṭubh
Madhuchandas Vaiśvāmitra,b01_h010_06,w.S.wSw.SwS.|S.SS.S.wSwS.|w.Sw.ww.S.ww.|SS.ww.wwSS|,anuṣṭubh
Madhuchandas Vaiśvāmitra,b01_h010_07,wwwS.wwww.|SS.SSw.S.wS.|wS.wS.wS.ww.|wSw.SS.SwS|,anuṣṭubh
Madhuchandas Vaiśvāmitra,b01_h010_08,wS.S.SwS.wS.|wSwSw.SwS.|SS.wSwS.wS.|S.S.SSw.Sww|,anuṣṭubh
Madhuchandas Vaiśvāmitra,b01_h010_09,SSSS.wS.wS.|S.S.wSw.S.ww.|SS.Sw.wS.ww.|SS.wS.w.SwS|,anuṣṭubh
Madhuchandas Vaiśvāmitra,b01_h010_10,SS.S.S.wSwS.|SSw.wwSwS.|wSwSw.Sww.|SS.wSwSwS|,anuṣṭubh
Madhuchandas Vaiśvāmitra,b01_h010_11,S.S.w.Sw.Sww.|SwSS.wS.ww.|Sw.SS.w.S.ww.|wS.wSwS.wS|,anuṣṭubh
Madhuchandas Vaiśvāmitra,b01_h010_12,wS.S.SwS.ww.|wS.wSw.SwS.|SSw.ww.SwS.|SS.wSw.SwS|,anuṣṭubh
Jetar Mādhuchandasa,b01_h011_01,SS.SS.wSwS.|wSSwwS.wS.|wSwS.wSwS.|SSS.SwS.wS|,anuṣṭubh
Jetar Mādhuchandasa,b01_h011_02,SS.w.Sw.SwS.|S.Sw.wwS.wS.|wS.wS.w.SwS.|SSw.wwSwS|,anuṣṭubh
Jetar Mādhuchandasa,b01_h011_03,SS.SSw.SwS.|w.w.SSw.SwS.|wS.SSw.SwS.|SSS.SwS.wS|,anuṣṭubh
Jetar Mādhuchandasa,b01_h011_04,wS.SS.wS.ww.|wwSS.wSww.|SS.SSw.SwS.|SS.SS.wSwS|,anuṣṭubh
Jetar Mādhuchandasa,b01_h011_05,wS.wSw.SwS.|wSw.SwS.wS.|wS.SS.wSwS.|SwSSw.SwS|,anuṣṭubh
Jetar Mādhuchandasa,b01_h011_06,wSS.Sw.SwS.|S.SS.Sw.Sww.|wSSSw.SwS.|wS.S.Sw.SwS|,anuṣṭubh
Jetar Mādhuchandasa,b01_h011_07,SSw.Sw.SwS.|wS.Sw.wSwS.|wS.S.Sw.SwS.|SS.wSw.S.ww|,anuṣṭubh
Jetar Mādhuchandasa,b01_h011_08,Sw.SSw.SwS.|wS.SS.wSww.|wSS.Sw.Sww.|ww.S.Sw.SwS|,anuṣṭubh
Medhātithi Kāṇva,b01_h012_01,SS.SS.wSwS.|SSS.SwSww.|Sw.SSw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h012_02,SwSS.wSwS.|wS.wSw.SwS.|SwSS.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h012_03,SS.SS.wS.ww.|SSS.SwSwS.|ww.SS.w.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h012_04,S.wwS.w.Sww.|w.SS.Sw.SwS.|SS.S.Sw.Sww|,gāyatrī
Medhātithi Kāṇva,b01_h012_05,wSwww.SwS.|wS.w.wwS.ww.|SS.wS.SSwS|,gāyatrī
Medhātithi Kāṇva,b01_h012_06,SwSS.w.SwS.|wS.wwwS.wS.|SwS.wwSwS|,gāyatrī
Medhātithi Kāṇva,b01_h012_07,ww.Sw.wS.ww.|SwSSw.SwS.|Sw.wSwSwS|,gāyatrī
Medhātithi Kāṇva,b01_h012_08,S.S.SS.wSwS.|SS.Sw.wSww.|SS.S.SwS.ww|,gāyatrī
